th_10,th_20,th_30,th_40,th_50,buffer,cdn_count,bit_rate,qoe_label
566.9574086365266,593.323963711318,686.6069967437585,614.7688613605166,640.2543700950417,1.0054459736052923,50,1,0.8652443606666504
605.1504642243036,568.8985680868766,575.4000260905266,617.5178119439822,615.6905287357988,0.7810844716407408,50,3,-11.387229641978598
627.8003299517065,534.2225114864468,581.4348649303914,625.5828418270511,617.8308773004145,2.000000000000001,51,2,1.0089692779327528
534.2680764518635,607.4039294789079,535.8558834037719,606.748761511097,627.8992790316428,0.2,50,2,-10.497332396564879
543.6866427660009,531.5296973306209,574.8980287903026,632.8949584193881,594.9617387315941,1.9884663867868868,51,0,-0.0933011503890904
623.4488828512496,618.9382894819634,614.4276961126773,614.4276961126773,613.3470203699247,2.5589723563574585,50,2,0.8089075568812424
632.4638292456173,611.774914955291,601.9382559955184,632.2026017350547,608.5796631275413,0.36,50,0,-2.4947580932430165
653.1354961677506,641.1530401111615,533.3109356018601,533.3109356018601,602.7541750517906,2.168043781753811,50,2,0.8313785852550388
632.7710954766648,607.610388290122,563.7124798280581,507.97804644393307,602.5062061534853,0.20831400474473774,50,3,-12.13818355168365
627.6311354090607,571.236307982144,593.0502071470294,610.149468304701,606.1979566859748,2.000000000000001,51,3,-10.506876555182124
638.949071048736,623.9530616340259,601.7703538289387,554.9217597906124,610.342242307344,2.000000000000001,51,2,-6.304212980531201
635.9376012652626,624.8312843767441,566.8257493702183,607.4629726445227,535.0806795973551,1.4980871702005907,51,0,-0.05345261075980301
713.9201378772168,701.0542640363417,585.261399468466,597.9590791773601,618.3053096613814,1.7807234907641205,50,2,1.2827344973831145
531.5212776681984,588.8383458204898,615.9508263367413,575.7727560832891,639.7338577028687,0.12553987344886536,50,3,-12.799876412957758
607.2718728620342,613.2076599367192,583.2038292472168,582.9663498934626,633.7242978621532,2.000000000000001,51,0,-0.6118528007629971
504.0394888884608,585.4137447377252,639.6632486372349,639.6632486372349,589.3293890118872,2.6249231974789646,50,2,0.7194032371454754
673.7768862801535,596.8866347115284,622.1661482071574,549.7801447731144,660.4656601747566,0.5628436609296301,50,0,-0.6485599437698619
621.8447898818604,606.0885608900792,606.0885608900792,562.2521355399575,576.3830623234334,0.9820557148566269,50,3,-10.495422349511472
619.6009491681262,630.5732316756123,583.4624702850703,551.0058369845698,580.7092835377181,2.000000000000001,51,1,-5.412146330056746
633.2276310815267,539.9818881629294,556.3295384454174,557.7320665516613,558.8237674409554,1.3133012249611236,51,1,0.8490771622766441
628.0955868640448,593.0738147153326,587.5969249252577,593.237063865078,602.3515206856229,0.6295292044628131,50,1,-0.3727775349979258
674.2539384161702,560.5628361107407,574.1888799900546,598.707890821642,607.0952289146874,0.8400000000000002,50,2,-2.9022011052634524
613.3593468828651,642.8022586854598,630.7249169736094,672.6496619811447,577.421393869626,1.3602436497107062,50,0,-0.6370971772084589
589.8517899820707,627.4484504888754,636.8476156155766,635.8396990862309,626.0688942936243,1.9565626432812746,50,0,-0.6704202167457441
588.0423012254513,588.0423012254513,605.0643715066105,612.3595444842503,610.1087690340323,2.660774633476357,50,1,0.034776122435111544
628.1648049605644,643.5940565322642,577.0148693161815,574.1141122264808,581.5777871376943,2.253280067471071,50,1,0.04100373408265813
576.577161668202,611.0181123354876,640.1902943018356,646.9086989628211,598.9808964931956,1.7109192428086293,50,3,-8.960118944525822
523.5460905689667,575.6939797223065,560.4977435537778,638.6427712270439,573.8837307062158,1.840000000000001,51,1,-6.988865050273716
555.9454376026265,576.1903114939055,606.3762724135177,608.5680697093973,617.3352588929155,2.231226489563377,51,1,0.940898336351315
589.3540835539319,626.619290322669,620.0316042633814,523.7807588056709,599.1730656614188,1.4468057775539707,50,2,-0.5533087215993265
633.8644721059954,653.289750103713,632.7203362510999,606.7472932828636,589.4050222362266,1.1200000000000003,50,1,-2.2593429590299072
568.8390543979648,535.2385468887717,579.8052633142935,627.3529133340064,661.501241049343,1.9845696758543654,50,2,0.886268803240782
583.1276254935997,604.7263644505159,651.085828129527,659.424885069462,638.5950795946515,0.8487761142197283,50,1,0.1882447139851009
544.0010747458404,573.9516543759626,608.8683367124328,672.8694240466249,658.1970998775134,0.7645582996002561,50,2,-9.884801554172247
532.2748308507215,590.4140442169764,609.4455390196886,608.9209421784066,604.7921376726077,2.000000000000001,51,3,-7.204485222138528
651.3356767731314,625.5577849590848,628.4501208061199,636.6736199620323,630.3874875227345,1.4400000000000006,51,1,-1.841776343413492
610.5030741298837,571.7691583302843,557.9328844650942,545.1929593779,566.6310309428021,1.6475827079105285,50,1,0.31257347095164195
583.1894524399997,685.7248791146063,650.3111176252274,542.6003983594914,561.98025204587,1.1776552578750072,50,0,-0.3670107138810987
583.3602842935162,588.5991555185826,635.7489965441808,635.7489965441808,546.3301514380074,1.67777442586822,50,2,-7.799454511996871
