th_time,th
218.657000065,183.488
220.657000065,309.644
222.656000137,267.788
224.656000137,261.488
226.656000137,231.204
228.697000027,170.124
230.696000099,167.288
232.696000099,278.844
234.695000172,273.82
236.695000172,262.02
238.694000006,233.288
240.736000061,599.028
242.735000134,613.168
244.775000095,809.088
246.734000206,623.528
248.734000206,396.792
250.73300004,489.42
252.775000095,369.816
254.774000168,447.872
256.774000168,403.716
258.815000057,567.408
260.813000202,407.412
262.772000074,512.08
264.772000074,371.432
266.771000147,323.556
268.813000202,1302.488
270.769999981,473.836
272.769999981,394.264
274.769999981,397.328
276.769000053,388.42
278.769000053,273.596
280.808000088,348.772
282.768000126,441.524
284.767000198,428.204
286.767000198,379.108
288.766000032,384.76
290.766000032,374.208
292.765000105,293.828
294.80700016,403.768
296.805999994,368.168
298.805999994,347.924
300.805000067,324.076
302.805000067,302.752
304.804000139,366.44
306.804000139,450.324
308.802999973,397.044
310.802999973,346.208
312.843000174,312.808
314.842000008,304.776
316.842000008,297.128
318.843000174,408.74
320.842000008,424.536
322.842000008,345.708
324.881000042,333.844
326.923000097,272.776
328.92200017,260.012
330.92200017,508.548
332.921000004,464.376
334.92200017,447.368
336.92200017,507.092
338.92200017,416.396
340.921000004,2119.052
342.921000004,594.196
344.920000076,480.136
346.920000076,406.68
348.919000149,425.176
350.919000149,451.2
352.917999983,393.512
354.917999983,418.868
356.917000055,465.928
358.917000055,418.408
360.917000055,419.728
362.916000128,408.46
364.916000128,360.668
366.9150002,412.828
368.9150002,479.916
370.914000034,462.192
372.914000034,575.34
374.955000162,430.264
376.955000162,174.444
378.996000051,213.788
380.995000124,310.424
382.995000124,270.596
384.994000196,271.804
386.994000196,257.264
389.035000086,194.82
391.075999975,202.068
393.075999975,289.796
395.117000103,283.32
397.117000103,685.068
399.116000175,723.692
401.116000175,192.412
403.11500001,303.7
405.11500001,729.016
407.114000082,267.412
409.114000082,309.856
411.113000154,248.024
413.113000154,211.836
415.111999989,216.34
417.111999989,277.632
419.111999989,333.352
421.111000061,271.752
423.111000061,733.044
425.114000082,274.408
427.114000082,245.88
429.113000154,266.136
431.113000154,333.848
433.111999989,260.424
435.111999989,484.472
437.111000061,558.752
439.111000061,413.696
441.110000134,435.396
443.110000134,486.956
445.110000134,349.932
447.109000206,341.42
449.109000206,733.792
451.10800004,310.756
453.10800004,385.488
455.107000113,528.812
457.147000074,433.232
459.106000185,475.568
461.106000185,430.748
463.105000019,358.872
465.105000019,404.776
467.105000019,477.056
469.104000092,454.192
471.104000092,434.184
473.103000164,413.816
475.103000164,329.06
477.101999998,383.036
479.101999998,522.34
481.101000071,670.124
483.101000071,346.58
485.100000143,321.684
487.100000143,309.452
489.100000143,278.224
491.098999977,348.668
493.098999977,366.712
495.09800005,320.356
497.09800005,310.452
499.097000122,307.068
501.097000122,268.156
503.096000195,347.572
505.138000011,405.664
507.095000029,325.92
509.095000029,303.48
511.094000101,288.488
513.134000063,286.996
515.13499999,366.696
517.133000135,598.344
519.093000174,257.588
521.092000008,262.512
523.092000008,264.288
525.09100008,523.764
527.132000208,695.496
